id,collection_id,material_id,denomination_id,condition,year_created,length,width,description,link,numeric_value,extra_year,units
ce15a5fd-9e75-49a0-82e2-02f1a71bcba2,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,2014,139,66,,https://en.numista.com/catalogue/note204328.html,50,,1
fe8a7d62-5886-4c3b-8402-ede02984c8c3,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,2013,143,68,,https://en.numista.com/catalogue/note204329.html,100,,1
a47a4e46-458a-42d6-8048-3ae714fecb4a,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,7050a2a2-7637-400a-a749-d37473225693,VERY_GOOD,1929,160,80,,https://en.numista.com/catalogue/note204645.html,20,,1
43b054c7-a49b-4185-b71b-10eeaa1724b1,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,a0040b59-553f-4788-bdcd-a63cce7f5d66,VERY_GOOD,1995,156,67,,https://en.numista.com/catalogue/note201812.html,2,,1
5d2c5d50-3282-41d2-9a9e-68d70d7d8302,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,f8cb6e4d-482c-44b2-a83a-75c2cf74f0f4,VERY_GOOD,2013,150,70,,https://en.numista.com/catalogue/note212968.html,500,,1
506e3442-fa66-4bb3-b806-91e784fe6395,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,29c13186-6b21-42d1-a60d-746a473a2218,VERY_GOOD,1986,154,74,,https://en.numista.com/catalogue/note206080.html,50,,1
cbf812f7-f178-4bd8-a74e-395da8143c8c,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,ca0a53ae-1704-4961-a12e-179dc11097ab,VERY_GOOD,1992,140,70,,https://en.numista.com/catalogue/note202949.html,2,,1
71b65c70-7790-41cc-bb68-1f9416b6360a,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,b3fbd662-b591-4401-bc61-bb2990eea07d,VERY_GOOD,2020,120,70,,https://en.numista.com/catalogue/note204030.html,5,,1
4ec42b4d-271d-4438-b5eb-974bd5c1c15e,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,f8cb6e4d-482c-44b2-a83a-75c2cf74f0f4,VERY_GOOD,1993,140,75,rupta in 2x locuri,https://en.numista.com/catalogue/note204378.html,20,,1
11967654-d4c2-464c-aa39-21e632e40190,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,f3c2b8e5-84e7-4379-b00b-bde9a75f04c8,VERY_GOOD,1983,158,72,,https://en.numista.com/catalogue/note205994.html,500,,1
2a4071e1-e0c2-42d3-a409-d3c2ffe83f12,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,13bc64de-13c6-4dc5-8387-7e12001b476c,VERY_GOOD,1970,140,72,,https://en.numista.com/catalogue/note206364.html,1000,,1
