id,collection_id,material_id,denomination_id,condition,year_created,diameter,description,link,numeric_value,extra_year,units,weight,thickness
9b61e820-1112-4faf-a41c-363219a73311,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,c1109634-1155-497f-930b-b22ba5856cc7,3b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e41,VERY_GOOD,2005,20.32,,https://ro.ucoin.net/coin/united_kingdom-1-penny-1998-2008/?tid=1634,1,(1999-2006),4,3.5600000000000001,1.6499999999999999
c4e46448-0228-469f-a6bf-e071f5c668c4,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,8d9f4c7a-1b55-4d8e-9f3c-7c1a5e8b9d55,VERY_GOOD,1948,28.399999999999999,,https://ro.ucoin.net/coin/united_kingdom-2-shillings-1947-1948/?tid=4579,2,,1,11.31,2.1000000000000001
9715d4c8-1988-444c-8465-503d3e7fdb87,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,e78b342c-29c1-4407-be38-860adbc885bd,8f3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e10,VERY_GOOD,1962,23,deteriorata,https://ro.ucoin.net/coin/czechoslovakia-1-koruna-1962/?cid=4723,1,,1,4,1.6000000000000001
94e9ba2e-91c5-430d-94a0-37a8d2ebe143,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,8734e197-5655-422b-968e-f02b792c9d32,8a7e9c2f-8a33-4d1f-9c7a-3e1b8f5d7c46,VERY_GOOD,1935,22,murdara + gaurita,https://ro.ucoin.net/coin/third_reich-50-reichspfennig-1935/?tid=12613,50,,1,1.3,1.5
0f3c858f-b575-4fde-9a4c-65f2c654e553,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,aa38d7db-f4ab-427e-9062-56f0db822ebf,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,1972,24.5,,https://ro.ucoin.net/coin/yugoslavia-2-dinara-1971-1981/?tid=18110,2,,1,4.9000000000000004,1.5
f55b1375-5a82-4ffd-91a3-1ce87c0dcbc7,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,2d1a9c3f-4b22-4d8f-9c1e-7a3d8f5b6c49,VERY_GOOD,1997,23,,https://ro.ucoin.net/coin/russia-2-rubles-1997-2001/?tid=2005,2,,1,5.0999999999999996,1.8
e5919b99-434a-44b9-bb42-746b09676d1e,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,8d9f4c7a-1b55-4d8e-9f3c-7c1a5e8b9d55,VERY_GOOD,1948,23.59,,https://ro.ucoin.net/coin/united_kingdom-1-shilling-1947-1948/?tid=4564,1,,1,5.6600000000000001,1.7
eb2f768e-788c-40ca-aade-12f86ac9f1b0,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,5c8e1f7a-2b44-4d9f-8c1e-7a5d3f9b2e25,VERY_GOOD,1907,18,murdara + gaurita,https://ro.ucoin.net/coin/germany-5-pfennig-1907/?cid=42782,5,,1,2.5,1.3
3e5f3305-32c8-4ceb-8129-b3dbd22b9f95,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,6c05ac8a-e4dc-4292-8a12-bc54d475a7c9,8b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e19,VERY_GOOD,2009,22.25,una e murdara,https://ro.ucoin.net/coin/austria-20-euro-cent-2002-2007/?tid=15,20,(2006-2016),3,5.7400000000000002,2.1400000000000001
94cfef3d-feda-4833-84a4-5fe76c9aa3a3,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,6c05ac8a-e4dc-4292-8a12-bc54d475a7c9,8b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e19,VERY_GOOD,2002,24.25,,https://ro.ucoin.net/coin/italy-50-euro-cent-2002-2007/?tid=503,50,,1,7.7999999999999998,2.3799999999999999
